VolcanoNumber,VolcanoName,VolcanoType,LastEruptionYear,Country,GeologicalSummary,Region,Subregion,Latitude,Longitude,Elevation,TectonicSetting,GeologicEpoch,EvidenceCategory,MajorRockType,LastUpdateDate,Remarks
222055,Ol Kokwe,Shield,,Kenya,"The elongated Ol Kokwe Island in the center of Lake Baringo SW of Korosi volcano consists of young basaltic scoria cones that cap a trachytic shield volcano.  N-S-trending faults cut the complex, producing W-facing scarps. Smaller islands to the N and S are faulted basaltic lava flows; Parmalok Island to the SW is a breached trachytic tuff cone that fed a small lava flow.  The latest eruptive activity was estimated to have occurred within the past thousand years (Smith 1991, pers. comm.). Hot springs, boiling mud pools, and fumaroles are present along the faults on the NE peninsula of the island and are frequently visited by tourists.",Africa and Red Sea,Africa (eastern),0.62,36.075,1130,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,Basalt / Picro-Basalt,4/1/21 8:00,"The elongated Ol Kokwe Island in the center of Lake Baringo SW of Korosi volcano consists of young basaltic scoria cones that cap a trachytic shield volcano.  N-S-trending faults cut the complex, producing W-facing scarps. Smaller islands to the N and S are faulted basaltic lava flows; Parmalok Island to the SW is a breached trachytic tuff cone that fed a small lava flow.  The latest eruptive activity was estimated to have occurred within the past thousand years (Smith 1991, pers. comm.). Hot springs, boiling mud pools, and fumaroles are present along the faults on the NE peninsula of the island and are frequently visited by tourists."
222056,Nyambeni Hills,Shield,,Kenya,"The broad NE-SW-trending Nyambeni shield volcano is capped by numerous phonolitic lava domes, basaltic cones, and lava flows of late-Pleistocene to Holocene age (Hackman et al., 1989). The basaltic cinder cones are the youngest features. They are clustered in a NE-trending belt along the crest of the shield, in a N-S-trending area including the Mula Hills, and in the Giaki area.",Africa and Red Sea,Africa (eastern),0.23,37.87,750,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,Basalt / Picro-Basalt,4/1/21 8:00,"The broad NE-SW-trending Nyambeni shield volcano is capped by numerous phonolitic lava domes, basaltic cones, and lava flows of late-Pleistocene to Holocene age (Hackman et al., 1989). The basaltic cinder cones are the youngest features. They are clustered in a NE-trending belt along the crest of the shield, in a N-S-trending area including the Mula Hills, and in the Giaki area."
222060,Menengai,Shield,-6050,Kenya,"The massive Menengai shield volcano occupies the floor of the East African Rift. Construction of a 30 km3 shield volcano beginning about 200,000 years ago was followed by the eruption of two voluminous ash-flow tuffs, each preceded by major pumice falls. The first took place about 29,000 years ago and produced a large caldera. The second, producing about 30 km3 of compositionally zoned peralkaline trachytic magma about 8000 years ago, was associated with formation of the present-day 8 x 12 km summit caldera. More than 70 post-caldera lava flows cover the caldera floor, the youngest of which may be only a few hundred years old. No historical eruptions are known. Fumarolic activity is restricted to the caldera.",Africa and Red Sea,Africa (eastern),-0.2,36.07,2278,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,Trachyte / Trachydacite,4/1/21 8:00,"The massive Menengai shield volcano occupies the floor of the East African Rift. Construction of a 30 km3 shield volcano beginning about 200,000 years ago was followed by the eruption of two voluminous ash-flow tuffs, each preceded by major pumice falls. The first took place about 29,000 years ago and produced a large caldera. The second, producing about 30 km3 of compositionally zoned peralkaline trachytic magma about 8000 years ago, was associated with formation of the present-day 8 x 12 km summit caldera. More than 70 post-caldera lava flows cover the caldera floor, the youngest of which may be only a few hundred years old. No historical eruptions are known. Fumarolic activity is restricted to the caldera."
222070,Homa Mountain,Complex,,Kenya,"Homa Mountain is a large carbonatitic complex with a flat-topped summit that forms a broad peninsula on the E shore of Lake Victoria. This dominantly Miocene-to-Pleistocene complex contains numerous flank vents, including the carbonatitic and ultramafic Lake Simbi maar on the lower E flank. The Chiewo, Got Ojawa, and Got Oloo vents on the S and W sides of Homa Mountain were formed during the latest stage of carbonatitic activity. Legends of inhabitants near the Lake Simbi maar suggest that it may have been formed in historical time.",Africa and Red Sea,Africa (eastern),-0.38,34.5,1751,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,Foidite,4/1/21 8:00,"Homa Mountain is a large carbonatitic complex with a flat-topped summit that forms a broad peninsula on the E shore of Lake Victoria. This dominantly Miocene-to-Pleistocene complex contains numerous flank vents, including the carbonatitic and ultramafic Lake Simbi maar on the lower E flank. The Chiewo, Got Ojawa, and Got Oloo vents on the S and W sides of Homa Mountain were formed during the latest stage of carbonatitic activity. Legends of inhabitants near the Lake Simbi maar suggest that it may have been formed in historical time."
222071,Elmenteita Badlands,Pyroclastic cone(s),,Kenya,"The Elmenteita Badlands, located between Lake Elmenteita and Eburru volcano, is an area of pyroclastic cones and lava flows of varying ages.  Large basaltic lava flows and ash cones post-date the 10,000-year-old high-stand of Lake Elmenteita (Thomson and Dodson, 1963).",Africa and Red Sea,Africa (eastern),-0.52,36.27,2126,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,Basalt / Picro-Basalt,4/1/21 8:00,"The Elmenteita Badlands, located between Lake Elmenteita and Eburru volcano, is an area of pyroclastic cones and lava flows of varying ages.  Large basaltic lava flows and ash cones post-date the 10,000-year-old high-stand of Lake Elmenteita (Thomson and Dodson, 1963)."
222080,"Eburru, Ol Doinyo",Complex,,Kenya,"Eburru volcano is elongated E-W perpendicular to the Gregory Rift NW of Lake Naivasha. The main edifice is eroded, but young partly vegetated rhyolitic domes occur on the E flank and are probably of Holocene age (Thompson and Dodson, 1963). Pleistocene phonolitic and trachytic lava flows are overlain by rhyolitic obsidian lava flows forming much of the N and NE slopes of the main massif. A prominent late-Pleistocene rhyolitic lava flow from a SE-flank vent extends almost to Lake Naivasha. Extensive fumarolic activity occurs at cinder cones and craters constructed along dominantly N-S faults cutting the massif.    ",Africa and Red Sea,Africa (eastern),-0.65,36.22,2856,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,Rhyolite,4/1/21 8:00,"Eburru volcano is elongated E-W perpendicular to the Gregory Rift NW of Lake Naivasha. The main edifice is eroded, but young partly vegetated rhyolitic domes occur on the E flank and are probably of Holocene age (Thompson and Dodson, 1963). Pleistocene phonolitic and trachytic lava flows are overlain by rhyolitic obsidian lava flows forming much of the N and NE slopes of the main massif. A prominent late-Pleistocene rhyolitic lava flow from a SE-flank vent extends almost to Lake Naivasha. Extensive fumarolic activity occurs at cinder cones and craters constructed along dominantly N-S faults cutting the massif.    "
222090,Olkaria,Pyroclastic cone(s),1770,Kenya,"The Olkaria volcanic complex, located immediately S of Lake Naivasha and W of Longonot volcano, comprises up to 80 individual alkali rhyolite centers. A thick, geochemically diverse basal complex is overlain by a dominantly silicic lava-dome and lava-flow complex constructed within a largely obscured 11 x 7.5-km-wide caldera that formed about 20,000 years ago following the eruption of welded alkali rhyolite ignimbrites. The youngest known eruption originated from the Ololbutot fissure on the SW side of the complex and produced a 5 km3 lava flow and a pumice flow that has a radiocarbon age of about 180 years. Fumarolic activity occurs at the Njorowa Gorge, and at the Orengingnai and Olkaria (Orgaria) pumice cones. Olkaria is the site of a large 50-80 km3 high-temperature geothermal field.",Africa and Red Sea,Africa (eastern),-0.904,36.292,2434,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,Rhyolite,4/1/21 8:00,"The Olkaria volcanic complex, located immediately S of Lake Naivasha and W of Longonot volcano, comprises up to 80 individual alkali rhyolite centers. A thick, geochemically diverse basal complex is overlain by a dominantly silicic lava-dome and lava-flow complex constructed within a largely obscured 11 x 7.5-km-wide caldera that formed about 20,000 years ago following the eruption of welded alkali rhyolite ignimbrites. The youngest known eruption originated from the Ololbutot fissure on the SW side of the complex and produced a 5 km3 lava flow and a pumice flow that has a radiocarbon age of about 180 years. Fumarolic activity occurs at the Njorowa Gorge, and at the Orengingnai and Olkaria (Orgaria) pumice cones. Olkaria is the site of a large 50-80 km3 high-temperature geothermal field."
222100,Longonot,Stratovolcano,1863,Kenya,"The trachytic Longonot stratovolcano SE of Lake Naivasha in the Gregory Rift valley contains a 8 x 12 km caldera. Formation of the caldera accompanied large explosive eruptions about 21,000 years ago. A large central cone that was constructed within the caldera, which forms the summit, is truncated by a circular, 1.8-km-wide crater. Post-caldera lavas are found on the caldera floor and the volcano's flanks, marking a late stage of effusive eruptions. A well-preserved satellitic cone is located on the NE flank. Masai tradition records a lava flow on the N flank during the 19th century. Similarly youthful-looking lava flows occur on the SW flank.",Africa and Red Sea,Africa (eastern),-0.914,36.446,2776,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,Trachyte / Trachydacite,4/1/21 8:00,"The trachytic Longonot stratovolcano SE of Lake Naivasha in the Gregory Rift valley contains a 8 x 12 km caldera. Formation of the caldera accompanied large explosive eruptions about 21,000 years ago. A large central cone that was constructed within the caldera, which forms the summit, is truncated by a circular, 1.8-km-wide crater. Post-caldera lavas are found on the caldera floor and the volcano's flanks, marking a late stage of effusive eruptions. A well-preserved satellitic cone is located on the NE flank. Masai tradition records a lava flow on the N flank during the 19th century. Similarly youthful-looking lava flows occur on the SW flank."
222110,Suswa,Shield,,Kenya,"The southernmost caldera of the Kenya rift, Suswa contains a prominent lava cone on the south side of its 8 x 12 km caldera. Suswa lies south of Longonot volcano and about 50 km WNW of the capital city of Nairobi. Construction of an early shield volcano was followed by eruption of voluminous Pleistocene pumice and lava flows that accompanied incremental formation of the caldera. The 2356-m summit of the phonolitic-to-trachytic volcano is formed by the post-caldera lava cone of Ol Doinyo Onyoke (""The Red Mountain,"" also known as Ol Doinyo Nyukie) on the south side of the caldera. Its large elongated summit crater is truncated on the north by a ring graben. This unusual 5-km-wide circular graben at the center of the older caldera isolates a tilted island block of caldera-floor lava flows. The latest eruptions have originated from satellitic vents that issued lava flows which remain unvegetated and may be only a century or so old.",Africa and Red Sea,Africa (eastern),-1.151,36.357,2356,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,Phonolite,4/1/21 8:00,"The southernmost caldera of the Kenya rift, Suswa contains a prominent lava cone on the south side of its 8 x 12 km caldera. Suswa lies south of Longonot volcano and about 50 km WNW of the capital city of Nairobi. Construction of an early shield volcano was followed by eruption of voluminous Pleistocene pumice and lava flows that accompanied incremental formation of the caldera. The 2356-m summit of the phonolitic-to-trachytic volcano is formed by the post-caldera lava cone of Ol Doinyo Onyoke (""The Red Mountain,"" also known as Ol Doinyo Nyukie) on the south side of the caldera. Its large elongated summit crater is truncated on the north by a ring graben. This unusual 5-km-wide circular graben at the center of the older caldera isolates a tilted island block of caldera-floor lava flows. The latest eruptions have originated from satellitic vents that issued lava flows which remain unvegetated and may be only a century or so old."
222120,"Lengai, Ol Doinyo",Stratovolcano,2021,Tanzania,"The symmetrical Ol Doinyo Lengai is the only volcano known to have erupted carbonatite tephras and lavas in historical time. The prominent stratovolcano, known to the Maasai as ""The Mountain of God,"" rises abruptly above the broad plain south of Lake Natron in the Gregory Rift Valley. The cone-building stage ended about 15,000 years ago and was followed by periodic ejection of natrocarbonatitic and nephelinite tephra during the Holocene. Historical eruptions have consisted of smaller tephra ejections and emission of numerous natrocarbonatitic lava flows on the floor of the summit crater and occasionally down the upper flanks. The depth and morphology of the northern crater have changed dramatically during the course of historical eruptions, ranging from steep crater walls about 200 m deep in the mid-20th century to shallow platforms mostly filling the crater. Long-term lava effusion in the summit crater beginning in 1983 had by the turn of the century mostly filled the northern crater; by late 1998 lava had begun overflowing the crater rim.",Africa and Red Sea,Africa (eastern),-2.764,35.914,2962,Rift zone / Continental crust (> 25 km),Holocene,Eruption Observed,Foidite,4/1/21 8:00,"The symmetrical Ol Doinyo Lengai is the only volcano known to have erupted carbonatite tephras and lavas in historical time. The prominent stratovolcano, known to the Maasai as ""The Mountain of God,"" rises abruptly above the broad plain south of Lake Natron in the Gregory Rift Valley. The cone-building stage ended about 15,000 years ago and was followed by periodic ejection of natrocarbonatitic and nephelinite tephra during the Holocene. Historical eruptions have consisted of smaller tephra ejections and emission of numerous natrocarbonatitic lava flows on the floor of the summit crater and occasionally down the upper flanks. The depth and morphology of the northern crater have changed dramatically during the course of historical eruptions, ranging from steep crater walls about 200 m deep in the mid-20th century to shallow platforms mostly filling the crater. Long-term lava effusion in the summit crater beginning in 1983 had by the turn of the century mostly filled the northern crater; by late 1998 lava had begun overflowing the crater rim."
222130,Chyulu Hills,Volcanic field,1855,Kenya,"The 100-km-long NW-SE-trending Chyulu Hills volcanic field is located 150 km E of the Kenya Rift. It contains several hundred small cones and flows, including numerous recent cinder cones. Two of these, Shaitani and Chainu, erupted during the mid-19th century. Volcanic activity began about 1.4 million years ago with eruptions in the northern Chyulu Hills and migrated to the SE, where a large number of Holocene cones are found. Many of the cinder cones are aligned along dominantly NW-trending older faults and younger NNE-trending fissures. The silica contents of the lava flows increased with time. Early flows consisted of foidites; later Holocene lava flows are basanites and alkali basalts.",Africa and Red Sea,Africa (eastern),-2.68,37.88,2188,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,Trachybasalt / Tephrite Basanite,4/1/21 8:00,"The 100-km-long NW-SE-trending Chyulu Hills volcanic field is located 150 km E of the Kenya Rift. It contains several hundred small cones and flows, including numerous recent cinder cones. Two of these, Shaitani and Chainu, erupted during the mid-19th century. Volcanic activity began about 1.4 million years ago with eruptions in the northern Chyulu Hills and migrated to the SE, where a large number of Holocene cones are found. Many of the cinder cones are aligned along dominantly NW-trending older faults and younger NNE-trending fissures. The silica contents of the lava flows increased with time. Early flows consisted of foidites; later Holocene lava flows are basanites and alkali basalts."
222160,Meru,Stratovolcano,1910,Tanzania,"Seen from the west, Meru has a conical profile but it contains a 5-km-wide breached caldera on the E side that formed about 7800 years ago when the summit collapsed.  Associated massive debris avalanches and lahars traveled as far as the W flank of Kilimanjaro volcano.  Parasitic cones and lava domes are located on all sides; a maar field is present on the lower N flank. The historically active Ash Cone forms a prominent symmetrical cone inside the breached caldera.   A second vent between it and the caldera headwall has fed lava flows that cover much of the caldera floor.",Africa and Red Sea,Africa (eastern),-3.25,36.75,4565,Rift zone / Continental crust (> 25 km),Holocene,Eruption Observed,Phonolite,4/1/21 8:00,"Seen from the west, Meru has a conical profile but it contains a 5-km-wide breached caldera on the E side that formed about 7800 years ago when the summit collapsed.  Associated massive debris avalanches and lahars traveled as far as the W flank of Kilimanjaro volcano.  Parasitic cones and lava domes are located on all sides; a maar field is present on the lower N flank. The historically active Ash Cone forms a prominent symmetrical cone inside the breached caldera.   A second vent between it and the caldera headwall has fed lava flows that cover much of the caldera floor."
222161,Igwisi Hills,Pyroclastic cone(s),-10450,Tanzania,"Three kimberlitic volcanoes of late Pleistocene or Holocene age are located in the Igwisi Hills, WNW of the city of Tabora in NW Tanzania.  They were erupted along a NE-SW-trending rift through a Precambrian granitic gneiss basement and are located on the W side of the Tanzanian Craton far from volcanoes near the Gregory Rift. Two pyroclastic cones with well-preserved craters are present, with a central cone and crater adjacent to the NE crater that contains a solidified lava lake. The NE crater is the largest feature, at 370 m in diameter, and has been breached on the ENE side; this was the source of lava flow about 1 km in length and width. The SW crater is also breached on the ENE side, with a smaller lava flow on the E flank. Cosmogenic Helium ages for the Igwisi Hills eruption with wide uncertainties range from late Pleistocene to mid-Holocene (Brown et al., 2012).",Africa and Red Sea,Africa (eastern),-4.889,31.933,1146,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,Foidite,4/1/21 8:00,"Three kimberlitic volcanoes of late Pleistocene or Holocene age are located in the Igwisi Hills, WNW of the city of Tabora in NW Tanzania.  They were erupted along a NE-SW-trending rift through a Precambrian granitic gneiss basement and are located on the W side of the Tanzanian Craton far from volcanoes near the Gregory Rift. Two pyroclastic cones with well-preserved craters are present, with a central cone and crater adjacent to the NE crater that contains a solidified lava lake. The NE crater is the largest feature, at 370 m in diameter, and has been breached on the ENE side; this was the source of lava flow about 1 km in length and width. The SW crater is also breached on the ENE side, with a smaller lava flow on the E flank. Cosmogenic Helium ages for the Igwisi Hills eruption with wide uncertainties range from late Pleistocene to mid-Holocene (Brown et al., 2012)."
222164,Ngozi,Caldera,1450,Tanzania,"Ngozi caldera is the most prominent volcanic feature of the Poroto Ridge, a transverse structure at the northern end of the Karonga basin. The trachytic-to-phonolitic volcano contains a 3-km-wide caldera with a 1.5 x 2.5 km lake in the southern part of the caldera that is bounded by steep-walled cliffs 150-300 m high. Numerous pyroclastic cones are situated along the ridge. Eruption of the Kitulo Pumice, radiocarbon dated at about 10,200 cal. years before present, is though to be related to formation of the caldera. The youngest activity appears to have originated from the caldera and from youthful-looking pyroclastic cones to the north; the youngest known eruption produced a pyroclastic flow that swept at least 10 km S about 500 years ago.",Africa and Red Sea,Africa (eastern),-8.989,33.554,2614,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,Trachyte / Trachydacite,4/1/21 8:00,"Ngozi caldera is the most prominent volcanic feature of the Poroto Ridge, a transverse structure at the northern end of the Karonga basin. The trachytic-to-phonolitic volcano contains a 3-km-wide caldera with a 1.5 x 2.5 km lake in the southern part of the caldera that is bounded by steep-walled cliffs 150-300 m high. Numerous pyroclastic cones are situated along the ridge. Eruption of the Kitulo Pumice, radiocarbon dated at about 10,200 cal. years before present, is though to be related to formation of the caldera. The youngest activity appears to have originated from the caldera and from youthful-looking pyroclastic cones to the north; the youngest known eruption produced a pyroclastic flow that swept at least 10 km S about 500 years ago."
222166,Rungwe,Stratovolcano,1250,Tanzania,"Rungwe volcano, the largest in the Karonga basin NW of Lake Malawi (Lake Nyasa), is cut by a 4-km-wide caldera that is breached to the WSW.  Hummocky terrain from a debris-avalanche deposit produced by collapse of the summit and western flank extends at least 20 km SW of the volcano. The trachytic caldera is largely filled by a series of youthful-looking uneroded and sparsely vegetated pumice cones, lava domes, and explosion craters. The latter are also found on the southern and northern flanks. A large area of basaltic cones and lava flows are found on the NW flank, and youthful-looking lava flows extend SW from vents inside the caldera.  Explosive and effusive eruptions were produced during the Holocene; the largest explosive eruption took place about 4,000 years ago, and the most recent about 1,200 years ago.",Africa and Red Sea,Africa (eastern),-9.135,33.668,2953,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,Trachyte / Trachydacite,4/1/21 8:00,"Rungwe volcano, the largest in the Karonga basin NW of Lake Malawi (Lake Nyasa), is cut by a 4-km-wide caldera that is breached to the WSW.  Hummocky terrain from a debris-avalanche deposit produced by collapse of the summit and western flank extends at least 20 km SW of the volcano. The trachytic caldera is largely filled by a series of youthful-looking uneroded and sparsely vegetated pumice cones, lava domes, and explosion craters. The latter are also found on the southern and northern flanks. A large area of basaltic cones and lava flows are found on the NW flank, and youthful-looking lava flows extend SW from vents inside the caldera.  Explosive and effusive eruptions were produced during the Holocene; the largest explosive eruption took place about 4,000 years ago, and the most recent about 1,200 years ago."
222170,Kyejo,Stratovolcano,1800,Tanzania,"Late-stage activity of the Kyejo (Kieyo) trachytic stratovolcano, NW of Lake Malawi (Lake Nyassa), consisted of the formation of numerous maars and cinder cones. This stratovolcano is elongated in a NW-SE direction and has been active since the mid-Pleistocene. Maars, some of which contain lakes, surround the area, and young basaltic cinder cones and lava flows cover an extensive area to the south. The latest eruption around 1800 CE took place from two tephritic cones, Sarabwe and Fiteko, that were constructed along a NW-trending fissure. The eruption produced lava flows that traveled 8 km and overran several villages.",Africa and Red Sea,Africa (eastern),-9.229,33.792,2176,Rift zone / Continental crust (> 25 km),Holocene,Eruption Observed,Trachyte / Trachydacite,4/1/21 8:00,"Late-stage activity of the Kyejo (Kieyo) trachytic stratovolcano, NW of Lake Malawi (Lake Nyassa), consisted of the formation of numerous maars and cinder cones. This stratovolcano is elongated in a NW-SE direction and has been active since the mid-Pleistocene. Maars, some of which contain lakes, surround the area, and young basaltic cinder cones and lava flows cover an extensive area to the south. The latest eruption around 1800 CE took place from two tephritic cones, Sarabwe and Fiteko, that were constructed along a NW-trending fissure. The eruption produced lava flows that traveled 8 km and overran several villages."
223001,Fort Portal,Tuff cone(s),-2120,Uganda,"The carbonatite lavas and tuffs of the Fort Portal volcanic field in Uganda, NE of Mount Ruwenzori between Lake Albert and Lake Edward, consists of a group of tuff cones and maars covering an area of about 145 km2. About 50 volcanic vents, some of which now contain crater lakes, were erupted through basement rocks of Precambrian gneiss in an WSW-ENE-trending area north of the town of Fort Portal. Several additional vents are located in the Kasekere (Rusekere) area to the NE. Radiocarbon dates of about 4700-4000 years ago were obtained from ash deposits from the Fort Portal volcanic field. Holmes (1950) noted that Kasensankaranga Crater in the Fort Portal area means ""spewer of roasted material,"" implying an historical age.",Africa and Red Sea,Africa (central),0.7,30.25,1615,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,Foidite,4/1/21 8:00,"The carbonatite lavas and tuffs of the Fort Portal volcanic field in Uganda, NE of Mount Ruwenzori between Lake Albert and Lake Edward, consists of a group of tuff cones and maars covering an area of about 145 km2. About 50 volcanic vents, some of which now contain crater lakes, were erupted through basement rocks of Precambrian gneiss in an WSW-ENE-trending area north of the town of Fort Portal. Several additional vents are located in the Kasekere (Rusekere) area to the NE. Radiocarbon dates of about 4700-4000 years ago were obtained from ash deposits from the Fort Portal volcanic field. Holmes (1950) noted that Kasensankaranga Crater in the Fort Portal area means ""spewer of roasted material,"" implying an historical age."
223002,Kyatwa,Tuff cone(s),,Uganda,"The Kyatwa (also known as Ndale) volcanic field  occupies the Western Rift Valley, N of the equator and E of the Ruwenzori Mountains about halfway between Lake Edward and Lake Albert.  The Kyatwa tuff cones and lake-filled maars are part of a group of Pleistocene-to-Recent volcanic fields in western Uganda.",Africa and Red Sea,Africa (central),0.45,30.25,1430,Rift zone / Continental crust (> 25 km),Holocene,Evidence Uncertain,Foidite,4/1/21 8:00,"The Kyatwa (also known as Ndale) volcanic field  occupies the Western Rift Valley, N of the equator and E of the Ruwenzori Mountains about halfway between Lake Edward and Lake Albert.  The Kyatwa tuff cones and lake-filled maars are part of a group of Pleistocene-to-Recent volcanic fields in western Uganda."
223003,Katwe-Kikorongo,Tuff cone(s),,Uganda,"The Katwe-Kikorongo volcanic field, stretching from the NE shore of Lake Edward to the W shore of Lake George, south of the Ruwenzori Range, is the most extensive of a series of volcanic fields in the Western Rift Valley of Uganda.  The field covers an area of about 180 km2 and contains a group of about 80 foiditic tuff cones and maars, some of which are filled by lakes.  Lake Katwe is a shallow 3-km-long body of water that occupies two of three intersecting craters immediately NE of Lake Edward.  Local folk tales suggest that volcanism in and around this area has continued into historical times.",Africa and Red Sea,Africa (central),-0.08,29.92,1067,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,Foidite,4/1/21 8:00,"The Katwe-Kikorongo volcanic field, stretching from the NE shore of Lake Edward to the W shore of Lake George, south of the Ruwenzori Range, is the most extensive of a series of volcanic fields in the Western Rift Valley of Uganda.  The field covers an area of about 180 km2 and contains a group of about 80 foiditic tuff cones and maars, some of which are filled by lakes.  Lake Katwe is a shallow 3-km-long body of water that occupies two of three intersecting craters immediately NE of Lake Edward.  Local folk tales suggest that volcanism in and around this area has continued into historical times."
223004,Bunyaruguru,Maar(s),,Uganda,"The late-Pleistocene to Holocene Bunyaruguru (also known as Kichwambe) volcanic field straddles the equator along the E side of the Western Rift Valley, south of Lake George.  It contains more than 130 maars, 27 of which hold lakes with water ranging from fresh to saline.  Friable calcareous volcanic tuffs are inter-bedded with Pleistocene and Recent sediments.  Only a few foiditic lava flows have been found.  Although no dated eruptions are known, Reece (1955) noted that volcanic activity probably continued into historical times.",Africa and Red Sea,Africa (central),-0.2,30.08,1554,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,Foidite,4/1/21 8:00,"The late-Pleistocene to Holocene Bunyaruguru (also known as Kichwambe) volcanic field straddles the equator along the E side of the Western Rift Valley, south of Lake George.  It contains more than 130 maars, 27 of which hold lakes with water ranging from fresh to saline.  Friable calcareous volcanic tuffs are inter-bedded with Pleistocene and Recent sediments.  Only a few foiditic lava flows have been found.  Although no dated eruptions are known, Reece (1955) noted that volcanic activity probably continued into historical times."
223005,Katunga,Tuff cone,,Uganda,"Katunga, an isolated tuff cone with associated lava flows located E of Lake Edward, is the southernmost feature of a N-S-trending chain of high-potassium foditic volcanic fields in the Western Rift Valley of Uganda. It is the type locality of the rock type katungite, an olivine-melilitite. The undissected tuff cone was erupted through metamorphic basement rocks.  Its rim and flanks are blanketed with ejected schists, and it contains a freshwater lake in its summit crater.  Two lava flows traveled to the NE from vents on the N and NE flanks.  The age of the cone is uncertain, but it is contemporaneous with late-Pleistocene to Recent tuff cones in the Bunyaruguru area; the undissected condition of the cone and associated lava flows implies a young age.",Africa and Red Sea,Africa (central),-0.471,30.191,1707,Rift zone / Continental crust (> 25 km),Holocene,Evidence Credible,Foidite,4/1/21 8:00,"Katunga, an isolated tuff cone with associated lava flows located E of Lake Edward, is the southernmost feature of a N-S-trending chain of high-potassium foditic volcanic fields in the Western Rift Valley of Uganda. It is the type locality of the rock type katungite, an olivine-melilitite. The undissected tuff cone was erupted through metamorphic basement rocks.  Its rim and flanks are blanketed with ejected schists, and it contains a freshwater lake in its summit crater.  Two lava flows traveled to the NE from vents on the N and NE flanks.  The age of the cone is uncertain, but it is contemporaneous with late-Pleistocene to Recent tuff cones in the Bunyaruguru area; the undissected condition of the cone and associated lava flows implies a young age."
223020,Nyamulagira,Shield,2021,DR Congo,"Africa's most active volcano, Nyamulagira (also known as Nyamuragira), is a massive high-potassium basaltic shield about 25 km N of Lake Kivu and 15 km NE of the steep-sided Nyiragongo volcano. The summit is truncated by a small 2 x 2.3 km caldera that has walls up to about 100 m high. Documented eruptions have occurred within the summit caldera, as well as from the numerous flank fissures and cinder cones. A lava lake in the summit crater, active since at least 1921, drained in 1938, at the time of a major flank eruption. Recent lava flows extend down the flanks more than 30 km from the summit as far as Lake Kivu; extensive lava flows from this volcano have covered 1,500 km2 of the western branch of the East African Rift.",Africa and Red Sea,Africa (central),-1.408,29.2,3058,Rift zone / Continental crust (> 25 km),Holocene,Eruption Observed,Trachybasalt / Tephrite Basanite,4/1/21 8:00,"Africa's most active volcano, Nyamulagira (also known as Nyamuragira), is a massive high-potassium basaltic shield about 25 km N of Lake Kivu and 15 km NE of the steep-sided Nyiragongo volcano. The summit is truncated by a small 2 x 2.3 km caldera that has walls up to about 100 m high. Documented eruptions have occurred within the summit caldera, as well as from the numerous flank fissures and cinder cones. A lava lake in the summit crater, active since at least 1921, drained in 1938, at the time of a major flank eruption. Recent lava flows extend down the flanks more than 30 km from the summit as far as Lake Kivu; extensive lava flows from this volcano have covered 1,500 km2 of the western branch of the East African Rift."
